,count,mean,std,min,25%,50%,75%,max
周期(二重微分),12013.0,11.002247565137768,2.0109370308150387,0.0,10.0,11.0,12.0,19.0
周期(ホモダイン判別機),12013.0,11.634479314076417,3.0038824731387264,0.0,10.0,11.0,13.0,29.0
周期(位相累積),12013.0,11.175726296512112,2.6325348827880988,0.0,9.0,11.0,13.0,19.0
周期(拡張二重微分),12013.0,21.40381253641888,19.72035622563193,0.0,8.0,13.0,28.0,95.0
周期(拡張ホモダイン判別機),12013.0,20.394322816948307,19.684366473199617,0.0,7.0,12.0,26.0,95.0
周期(拡張位相累積),12013.0,7.011737284608341,2.9394679136351467,0.0,5.0,6.0,8.0,17.0
