,count,mean,std,min,25%,50%,75%,max
周期(二重微分),10179.0,4.996561548285686,0.13108059970334673,0.0,5.0,5.0,5.0,5.0
周期(ホモダイン判別機),10179.0,11.335494645839473,2.9681496158907916,0.0,9.0,11.0,13.0,29.0
周期(位相累積),10179.0,10.880243638864329,2.585215325311444,0.0,9.0,11.0,13.0,19.0
周期(拡張二重微分),10179.0,20.260045191079673,19.10528857465519,0.0,8.0,13.0,25.0,95.0
周期(拡張ホモダイン判別機),10179.0,19.08684546615581,18.88681688101584,0.0,7.0,12.0,23.0,95.0
周期(拡張位相累積),10179.0,7.149523528833874,3.1814273796289156,0.0,5.0,5.0,8.0,17.0
