,count,mean,std,min,25%,50%,75%,max
周期(二重微分),4015.0,4.991282689912827,0.20861782915535287,0.0,5.0,5.0,5.0,5.0
周期(ホモダイン判別機),4015.0,11.56239103362391,3.0663693658318967,0.0,9.0,11.0,13.0,27.0
周期(位相累積),4015.0,10.895392278953922,2.6599347368825614,0.0,9.0,11.0,13.0,18.0
周期(拡張二重微分),4015.0,17.116064757160647,14.067120702502876,0.0,7.0,11.0,23.0,59.0
周期(拡張ホモダイン判別機),4015.0,16.059277708592777,13.919441261012349,0.0,6.0,10.0,21.0,59.0
周期(拡張位相累積),4015.0,6.593275217932752,1.9901863384880272,0.0,5.0,6.0,8.0,15.0
