Detector,Description,Mean_Cycle,Std_Cycle,Min_Cycle,Max_Cycle,Median_Cycle,Valid_Count,NaN_Count,Calc_Time_Sec,Success_Rate,Performance_Score
adaptive_unified,適応型統合サイクル（Adaptive Unified Dominant Cycle）,11.733356369500115,2.812105663473967,0.0,24.0,11.0,17364,0,0.011410951614379883,100.0,8057.399876101002
practical,実践的サイクル検出器（Practical Cycle Detector）,16.641614835291406,3.051983478223412,6.0,23.0,17.0,17364,0,0.028843402862548828,100.0,3350.824316535709
dudi,二重微分（Dual Differentiator）,11.154054365353606,1.9843157263664066,0.0,19.0,11.0,17364,0,0.47990870475769043,100.0,207.93967547413345
bandpass_zero,バンドパスゼロクロッシング検出器（Bandpass Zero Crossings）,15.187571988021194,3.6763349583264153,8.0,38.0,14.0,17364,0,0.5021021366119385,100.0,198.7667964867614
cycle_period2,改良サイクル周期検出器（Enhanced Cycle Period）,17.602568532596177,4.807203987035471,8.0,32.0,18.0,17364,0,0.5473544597625732,100.0,182.36379447574484
phac,位相累積（Phase Accumulation）,11.436477770099055,2.499584565579822,0.0,21.0,11.0,17364,0,0.5609126091003418,100.0,177.96361637106958
hody_e,拡張ホモダイン判別機（Enhanced Homodyne Discriminator）,23.978749136143744,11.576073609550505,8.0,65.0,22.0,17364,0,0.6329638957977295,100.0,157.73768926409917
hody,ホモダイン判別機（Homodyne Discriminator）,11.733356369500115,2.812105663473967,0.0,24.0,11.0,17364,0,0.7263481616973877,100.0,137.48573965820358
dudi_e,拡張二重微分（Enhanced Dual Differentiator）,19.133782538585578,8.921850363669309,8.0,65.0,17.0,17364,0,0.7526559829711914,100.0,132.6865337229367
ultra_supreme_dft,🚀🧠 Ultra Supreme DFT Cycle（究極至高DFT・次世代高性能）,10.436535360516011,5.916776064576595,8.0,30.0,8.0,17364,0,0.7583985328674316,100.0,131.68316196557234
phac_e,拡張位相累積（Enhanced Phase Accumulation）,9.699838746832526,1.7271154769717596,8.0,14.0,9.0,17364,0,0.8475918769836426,100.0,117.84227814606761
dft_dominant,DFTドミナントサイクル検出器（DFT Dominant Cycle）,19.262151577977423,5.847051789487385,8.0,25.0,21.0,17364,0,1.047276496887207,100.0,95.39467907269112
autocorr_perio,自己相関ピリオドグラム検出器（Autocorrelation Periodogram）,11.597730937571988,4.427401734725287,8.0,24.0,10.0,17364,0,1.1853911876678467,100.0,84.28923026356544
cycle_period,サイクル周期検出器（Cycle Period Dominant Cycle）,17.508523381709285,5.141735285831864,8.0,31.0,18.0,17364,0,1.6355042457580566,100.0,61.10586040898311
supreme_ultimate,最高究極サイクル（Supreme Ultimate Cycle）,7.581835982492513,1.968051537084104,5.0,13.0,8.0,17364,0,3.7470602989196777,100.0,26.68046723496511
adaptive_ensemble,適応型アンサンブルサイクル（Adaptive Ensemble Cycle）,12.523900023036166,2.3199390314321433,8.0,24.0,12.0,17364,0,3.74898362159729,100.0,26.66678313581685
absolute_ultimate,絶対的究極サイクル検出器（Absolute Ultimate Cycle）,17.331375259156875,1.7710342292995276,11.0,21.0,17.0,17364,0,6.963602304458618,100.0,14.358321642569845
quantum_adaptive,量子適応型サイクル（Quantum Adaptive Cycle）,14.008005067956692,2.7704537388932757,8.0,18.0,15.0,17364,0,11.68713927268982,100.0,8.555681761395265
