Detector,Description,Mean_Cycle,Std_Cycle,Min_Cycle,Max_Cycle,Median_Cycle,Valid_Count,NaN_Count,Calc_Time_Sec,Success_Rate,Performance_Score
adaptive_unified,適応型統合サイクル（Adaptive Unified Dominant Cycle）,11.733356369500115,2.812105663473967,0.0,24.0,11.0,17364,0,0.01013946533203125,100.0,8977.091540691143
practical,実践的サイクル検出器（Practical Cycle Detector）,16.641614835291406,3.051983478223412,6.0,23.0,17.0,17364,0,0.031661033630371094,100.0,3061.752458042578
dudi,二重微分（Dual Differentiator）,11.154054365353606,1.9843157263664066,0.0,19.0,11.0,17364,0,0.5282580852508545,100.0,188.94373612186314
phac,位相累積（Phase Accumulation）,11.436477770099055,2.499584565579822,0.0,21.0,11.0,17364,0,0.5746097564697266,100.0,173.72881344699613
bandpass_zero,バンドパスゼロクロッシング検出器（Bandpass Zero Crossings）,15.187571988021194,3.6763349583264153,8.0,38.0,14.0,17364,0,0.6443557739257812,100.0,154.95328939522346
cycle_period2,改良サイクル周期検出器（Enhanced Cycle Period）,17.602568532596177,4.807203987035471,8.0,32.0,18.0,17364,0,0.6653366088867188,100.0,150.07429978532159
hody_e,拡張ホモダイン判別機（Enhanced Homodyne Discriminator）,23.978749136143744,11.576073609550505,8.0,65.0,22.0,17364,0,0.6681075096130371,100.0,149.45281373068536
ultra_supreme_dft,🚀🧠 Ultra Supreme DFT Cycle（究極至高DFT・次世代高性能）,10.436535360516011,5.916776064576595,8.0,30.0,8.0,17364,0,0.7410130500793457,100.0,134.76851921850525
dudi_e,拡張二重微分（Enhanced Dual Differentiator）,19.133782538585578,8.921850363669309,8.0,65.0,17.0,17364,0,0.7927427291870117,100.0,125.98540600482055
hody,ホモダイン判別機（Homodyne Discriminator）,11.733356369500115,2.812105663473967,0.0,24.0,11.0,17364,0,0.8137257099151611,100.0,122.74069516035425
phac_e,拡張位相累積（Enhanced Phase Accumulation）,9.699838746832526,1.7271154769717596,8.0,14.0,9.0,17364,0,0.9325375556945801,100.0,107.11941837797515
dft_dominant,DFTドミナントサイクル検出器（DFT Dominant Cycle）,19.262151577977423,5.847051789487385,8.0,25.0,21.0,17364,0,1.221956729888916,100.0,81.76904182790118
cycle_period,サイクル周期検出器（Cycle Period Dominant Cycle）,17.508523381709285,5.141735285831864,8.0,31.0,18.0,17364,0,2.053123950958252,100.0,48.68255391956744
adaptive_ensemble,適応型アンサンブルサイクル（Adaptive Ensemble Cycle）,12.523900023036166,2.3199390314321433,8.0,24.0,12.0,17364,0,3.0384438037872314,100.0,32.900756340813814
autocorr_perio,自己相関ピリオドグラム検出器（Autocorrelation Periodogram）,11.597730937571988,4.427401734725287,8.0,24.0,10.0,17364,0,3.236140489578247,100.0,30.891461251664296
supreme_ultimate,最高究極サイクル（Supreme Ultimate Cycle）,7.581835982492513,1.968051537084104,5.0,13.0,8.0,17364,0,3.813450574874878,100.0,26.2160953555625
absolute_ultimate,絶対的究極サイクル検出器（Absolute Ultimate Cycle）,17.331375259156875,1.7710342292995276,11.0,21.0,17.0,17364,0,6.852074384689331,100.0,14.591991037396754
quantum_adaptive,量子適応型サイクル（Quantum Adaptive Cycle）,14.008005067956692,2.7704537388932757,8.0,18.0,15.0,17364,0,9.532464504241943,100.0,10.489366164368128
